datetime,Daily_DS_cm,13D_smooth_DS_cm
2023-05-31,39.8526,39.8526
2023-06-01,39.1731,39.5129
2023-06-02,38.1699,39.0652
2023-06-03,37.2586,38.6136
2023-06-04,35.9855,38.0879
2023-06-05,34.9821,37.5703
2023-06-06,34.2202,37.0917
2023-06-07,33.5820,36.6530
2023-06-08,32.6644,36.2098
2023-06-09,31.6865,35.7575
2023-06-10,31.0547,35.3300
2023-06-11,30.6705,34.9417
2023-06-12,30.2165,34.5782
2023-06-13,29.7370,33.8001
2023-06-14,29.2894,33.0398
2023-06-15,29.7434,32.3916
2023-06-16,28.6417,31.7288
2023-06-17,27.8829,31.1055
2023-06-18,27.1748,30.5049
2023-06-19,26.6002,29.9188
2023-06-20,26.7303,29.3917
2023-06-21,26.1842,28.8932
2023-06-22,25.5524,28.4214
2023-06-23,25.0412,27.9588
2023-06-24,24.7459,27.5031
2023-06-25,24.2284,27.0425
2023-06-26,23.7268,26.5801
2023-06-27,23.4156,26.1283
2023-06-28,23.2061,25.6254
2023-06-29,22.8664,25.1812
2023-06-30,22.5965,24.7745
2023-07-01,22.1266,24.3862
2023-07-02,21.7392,24.0123
2023-07-03,21.3423,23.5978
2023-07-04,21.0979,23.2066
2023-07-05,20.8121,22.8419
2023-07-06,20.6375,22.5032
2023-07-07,20.1549,22.1500
2023-07-08,19.7358,21.8044
2023-07-09,19.3865,21.4706
2023-07-10,19.0659,21.1360
2023-07-11,18.7706,20.7948
2023-07-12,18.5357,20.4617
2023-07-13,18.2816,20.1297
2023-07-14,18.0721,19.8179
2023-07-15,17.7610,19.5118
2023-07-16,17.4339,19.2112
2023-07-17,17.0910,18.9030
2023-07-18,16.9196,18.6035
2023-07-19,16.8974,18.3158
2023-07-20,16.8529,18.0618
2023-07-21,16.4814,17.8115
2023-07-22,16.1100,17.5595
2023-07-23,15.7956,17.3079
2023-07-24,15.6401,17.0671
2023-07-25,15.6655,16.8463
2023-07-26,15.5194,16.6338
2023-07-27,15.3448,16.4240
2023-07-28,15.0431,16.2150
2023-07-29,14.7701,16.0101
2023-07-30,14.6145,15.8196
2023-07-31,14.5066,15.6339
2023-08-01,14.4748,15.4476
2023-08-02,15.7861,15.3655
2023-08-03,15.6940,15.3050
2023-08-04,16.2560,15.3162
2023-08-05,15.0114,15.2559
2023-08-06,14.6590,15.1804
2023-08-07,15.1067,15.1374
2023-08-08,16.0973,15.1819
2023-08-09,15.8718,15.2224
2023-08-10,15.5353,15.2603
2023-08-11,15.4051,15.3091
2023-08-12,15.2559,15.3585
2023-08-13,15.0590,15.4009
2023-08-14,14.7923,15.4254
2023-08-15,14.6050,15.3345
2023-08-16,14.1351,15.2146
2023-08-17,14.0938,15.0483
2023-08-18,14.0938,14.9777
2023-08-19,14.0494,14.9308
2023-08-20,14.2304,14.8634
2023-08-21,14.3319,14.7276
2023-08-22,14.8653,14.6502
2023-08-23,14.5669,14.5757
2023-08-24,14.2081,14.4836
2023-08-25,13.8779,14.3776
2023-08-26,13.5446,14.2611
2023-08-27,13.3477,14.1500
2023-08-28,13.2334,14.0445
2023-08-29,12.9762,13.9553
2023-08-30,12.8905,13.8628
2023-08-31,12.8016,13.7634
2023-09-01,12.8079,13.6679
2023-09-02,12.7540,13.5543
2023-09-03,12.6174,13.4224
2023-09-04,15.1098,13.4412
2023-09-05,13.6430,13.3702
2023-09-06,13.0778,13.2832
2023-09-07,12.7508,13.1965
2023-09-08,12.5063,13.1167
2023-09-09,12.4269,13.0458
2023-09-10,12.3952,12.9814
2023-09-11,12.2333,12.9242
2023-09-12,12.1507,12.8673
2023-09-13,12.2555,12.8253
2023-09-14,12.2079,12.7791
2023-09-15,12.1158,12.7300
2023-09-16,12.0459,12.6861
2023-09-17,11.8554,12.4357
2023-09-18,11.7729,12.2919
2023-09-19,11.4014,12.1629
2023-09-20,11.3919,12.0584
2023-09-21,11.5443,11.9844
2023-09-22,12.5889,11.9969
2023-09-23,12.0682,11.9717
2023-09-24,11.8237,11.9402
2023-09-25,11.5633,11.8950
2023-09-26,11.4205,11.8308
2023-09-27,11.2713,11.7587
2023-09-28,11.3982,11.7035
2023-09-29,11.3601,11.6508
2023-09-30,11.2332,11.6029
2023-10-01,11.7380,11.6002
2023-10-02,13.9605,11.7971
2023-10-03,12.9286,11.9153
2023-10-04,12.7826,12.0105
2023-10-05,12.3984,11.9959
2023-10-06,12.2333,12.0086
2023-10-07,12.1920,12.0369
2023-10-08,12.1444,12.0816
2023-10-09,12.0936,12.1334
2023-10-10,11.9031,12.1820
2023-10-11,13.4239,12.3378
2023-10-12,13.6582,12.5146
2023-10-13,12.9540,12.6470
2023-10-14,12.6936,12.7205
2023-10-15,12.3888,12.5996
2023-10-16,12.3571,12.5556
2023-10-17,12.3031,12.5187
2023-10-18,12.1602,12.5004
2023-10-19,12.2015,12.4980
2023-10-20,12.1476,12.4946
2023-10-21,12.1063,12.4916
2023-10-22,12.1221,12.4938
2023-10-23,12.1349,12.5117
2023-10-24,12.1602,12.4144
2023-10-25,12.0491,12.2907
2023-10-26,13.2747,12.3153
2023-10-27,12.7730,12.3214
2023-10-28,12.4333,12.3249
2023-10-29,12.2142,12.3139
2023-10-30,12.1761,12.3041
2023-10-31,11.9062,12.2846
2023-11-01,11.9126,12.2623
2023-11-02,11.8999,12.2433
2023-11-03,11.8332,12.2223
2023-11-04,11.8904,12.2045
2023-11-05,11.8872,12.1854
2023-11-06,11.8872,12.1644
2023-11-07,12.2745,12.1817
2023-11-08,12.3317,12.1092
2023-11-09,12.1920,12.0645
2023-11-10,12.1221,12.0406
2023-11-11,11.9761,12.0223
2023-11-12,11.9062,12.0015
2023-11-13,11.8872,12.0000
2023-11-14,11.8269,11.9934
2023-11-15,11.7634,11.9829
2023-11-16,13.6398,12.1219
2023-11-17,12.8778,12.1979
2023-11-18,12.7286,12.2626
2023-11-19,13.4842,12.3854
2023-11-20,13.1763,12.4548
2023-11-21,12.7667,12.4883
2023-11-22,12.4968,12.5117
2023-11-23,12.5000,12.5408
2023-11-24,12.4397,12.5764
2023-11-25,12.1793,12.5974
2023-11-26,11.9888,12.6052
2023-11-27,12.1888,12.6331
2023-11-28,12.9604,12.7252
2023-11-29,11.8459,12.5872
2023-11-30,11.6193,12.4904
